FRONT_RADIATOR=1
TEMP_MIN=15
TEMP_MAX=50
REAL_MIN_DUTYCYCLE=0.70
REAL_MAX_DUTYCYCLE=1
DEACTIVATION_RATIO=1.25
cooldown=64

TIMESTEP_MAIN=5
TIMESTEP_UPDATE=15

SLOPE_INTERVAL=5
SLOPE_LENGTH=30
SLOPE_THRESHOLD=1
n_samples_fine=6
slope_samples_per_min=12
slope_max_per_sample=0.08

AVERAGING_INTERVAL=15
AVERAGING_LENGTH=900
n_samples_course=60

secondsElapsed,mem,status,cooldown,tempRadiator,tempAmbient,tempSlope,tempRatio,tempStop,tempRadAverage,tempAmbAverage,dutyCyclesa
2, 263, 1, 0, 35.75, 22, 0, 0, 27.50, 35.73, 22, 255, u.s.s.sa
19, 263, 4, 1, 35.75, 22.06, 0, 0.49, 27.50, 35.73, 22, 216, u.s.s.sa
36, 263, 4, 2, 35.63, 22.06, -0.02, 0.49, 27.50, 35.72, 22, 216, u.s.s.sa
53, 263, 4, 3, 35.56, 22, -0.03, 0.48, 27.50, 35.72, 22, 216, u.s.s.sa
71, 263, 4, 4, 35.50, 22, -0.02, 0.48, 27.50, 35.72, 22, 216, u.s.s.sa
88, 263, 4, 5, 35.44, 22, -0.03, 0.48, 27.50, 35.71, 22, 215, u.s.s.sa
105, 263, 4, 6, 35.38, 22, -0.02, 0.48, 27.50, 35.70, 22, 215, u.s.s.sa
122, 263, 4, 7, 35.31, 22, -0.03, 0.48, 27.50, 35.70, 22, 215, u.s.s.sa
140, 263, 4, 8, 35.25, 22, 0, 0.47, 27.50, 35.69, 22, 215, u.s.s.sa
157, 263, 4, 9, 35.19, 22, -0.02, 0.47, 27.50, 35.68, 22, 215, u.s.s.sa
174, 263, 4, 10, 35.13, 22, -0.03, 0.47, 27.50, 35.67, 22, 215, u.s.s.sa
191, 263, 4, 11, 35.06, 22, -0.03, 0.47, 27.50, 35.66, 22, 214, u.s.s.sa
209, 263, 4, 12, 35, 22, -0.02, 0.46, 27.50, 35.65, 22, 214, u.s.s.sa
226, 263, 4, 13, 34.94, 22, -0.03, 0.46, 27.50, 35.64, 22, 214, u.s.s.sa
243, 263, 4, 14, 34.88, 21.94, -0.02, 0.46, 27.50, 35.62, 22, 214, u.s.s.sa
260, 263, 4, 15, 34.81, 22, -0.04, 0.46, 27.50, 35.61, 22, 214, u.s.s.sa
278, 263, 4, 16, 34.75, 22, 0, 0.46, 27.50, 35.59, 22, 214, u.s.s.sa
295, 263, 4, 17, 34.63, 22, -0.04, 0.45, 27.50, 35.57, 22, 213, u.s.s.sa
312, 263, 4, 18, 34.56, 22, 0, 0.45, 27.50, 35.55, 22, 213, u.s.s.sa
329, 263, 4, 19, 34.56, 22, 0, 0.45, 27.50, 35.54, 22, 213, u.s.s.sa
347, 263, 4, 20, 34.50, 22, -0.04, 0.45, 27.50, 35.52, 22, 213, u.s.s.sa
364, 263, 4, 21, 34.38, 22, -0.02, 0.44, 27.50, 35.49, 22, 213, u.s.s.sa
381, 263, 4, 22, 34.31, 22, -0.03, 0.44, 27.50, 35.47, 22, 212, u.s.s.sa
398, 263, 4, 23, 34.25, 22, -0.03, 0.44, 27.50, 35.44, 22, 212, u.s.s.sa
416, 263, 4, 24, 34.19, 22, -0.02, 0.44, 27.50, 35.42, 22, 212, u.s.s.sa
433, 263, 4, 25, 34.13, 22, -0.03, 0.43, 27.50, 35.39, 22, 212, u.s.s.sa
450, 263, 4, 26, 34.06, 21.94, -0.02, 0.43, 27.50, 35.36, 22, 212, u.s.s.sa
467, 263, 4, 27, 34, 21.94, -0.04, 0.43, 27.50, 35.33, 22, 212, u.s.s.sa
485, 263, 4, 28, 33.94, 21.94, 0, 0.43, 27.50, 35.30, 22, 211, u.s.s.sa
502, 263, 4, 29, 33.88, 21.94, 0, 0.43, 27.50, 35.27, 22, 211, u.s.s.sa
519, 263, 4, 30, 33.75, 21.94, -0.04, 0.42, 27.50, 35.24, 22, 211, u.s.s.sa
536, 263, 4, 31, 33.69, 21.94, -0.02, 0.42, 27.50, 35.21, 22, 211, u.s.s.sa
554, 263, 4, 32, 33.63, 21.94, -0.03, 0.42, 27.50, 35.17, 22, 211, u.s.s.sa
571, 263, 4, 33, 33.56, 21.94, -0.03, 0.41, 27.50, 35.14, 22, 210, u.s.s.sa
588, 263, 4, 34, 33.50, 21.94, -0.02, 0.41, 27.50, 35.10, 22, 210, u.s.s.sa
605, 263, 4, 35, 33.44, 21.94, -0.03, 0.41, 27.50, 35.06, 22, 210, u.s.s.sa
623, 263, 4, 36, 33.38, 21.94, -0.02, 0.41, 27.50, 35.02, 22, 210, u.s.s.sa
640, 263, 4, 37, 33.31, 21.94, -0.03, 0.41, 27.50, 34.98, 22, 210, u.s.s.sa
657, 263, 4, 38, 33.25, 21.94, -0.02, 0.40, 27.50, 34.94, 22, 210, u.s.s.sa
674, 263, 4, 39, 33.19, 21.94, 0, 0.40, 27.50, 34.90, 22, 209, u.s.s.sa
692, 263, 4, 40, 33.06, 21.94, -0.04, 0.40, 27.50, 34.86, 22, 209, u.s.s.sa
709, 263, 4, 41, 33.06, 21.87, 0, 0.40, 27.50, 34.81, 22.00, 209, u.s.s.sa
726, 263, 4, 42, 32.94, 21.87, -0.04, 0.39, 27.49, 34.77, 22.00, 209, u.s.s.sa
743, 263, 4, 43, 32.88, 21.87, -0.02, 0.39, 27.49, 34.72, 21.99, 209, u.s.s.sa
761, 263, 4, 44, 32.81, 21.87, -0.03, 0.39, 27.49, 34.67, 21.99, 209, u.s.s.sa
778, 263, 4, 45, 32.75, 21.94, -0.02, 0.39, 27.49, 34.62, 21.99, 208, u.s.s.sa
795, 263, 4, 46, 32.69, 21.94, -0.03, 0.38, 27.49, 34.57, 21.99, 208, u.s.s.sa
812, 263, 4, 47, 32.63, 21.87, -0.02, 0.38, 27.49, 34.52, 21.99, 208, u.s.s.sa
830, 263, 4, 48, 32.56, 21.87, -0.03, 0.38, 27.48, 34.47, 21.99, 208, u.s.s.sa
847, 263, 4, 49, 32.50, 21.87, 0, 0.38, 27.48, 34.41, 21.98, 208, u.s.s.sa
864, 263, 4, 50, 32.44, 21.87, -0.03, 0.38, 27.48, 34.36, 21.98, 208, u.s.s.sa
881, 263, 4, 51, 32.38, 21.87, -0.02, 0.37, 27.47, 34.30, 21.98, 207, u.s.s.sa
899, 263, 4, 52, 32.31, 21.87, -0.03, 0.37, 27.47, 34.25, 21.98, 207, u.s.s.sa
916, 263, 4, 53, 32.25, 21.94, -0.02, 0.37, 27.47, 34.19, 21.98, 207, u.s.s.sa
933, 263, 4, 54, 32.19, 21.94, -0.03, 0.37, 27.47, 34.13, 21.98, 207, u.s.s.sa
950, 263, 4, 55, 32.13, 21.94, -0.02, 0.36, 27.47, 34.07, 21.98, 207, u.s.s.sa
968, 263, 4, 56, 32.06, 21.87, -0.03, 0.36, 27.47, 34.01, 21.97, 207, u.s.s.sa
985, 263, 4, 57, 32, 21.87, -0.02, 0.36, 27.47, 33.95, 21.97, 206, u.s.s.sa
1002, 263, 4, 58, 31.94, 21.87, -0.03, 0.36, 27.46, 33.88, 21.97, 206, u.s.s.sa
1019, 263, 4, 59, 31.87, 21.87, -0.02, 0.36, 27.46, 33.82, 21.97, 206, u.s.s.sa
1037, 263, 4, 60, 31.81, 21.87, -0.04, 0.35, 27.46, 33.75, 21.97, 206, u.s.s.sa
1054, 263, 4, 61, 31.75, 21.87, 0, 0.35, 27.45, 33.68, 21.96, 206, u.s.s.sa
1071, 263, 4, 62, 31.69, 21.87, 0, 0.35, 27.45, 33.62, 21.96, 206, u.s.s.sa
1088, 263, 4, 63, 31.62, 21.81, -0.04, 0.35, 27.45, 33.55, 21.96, 205, u.s.s.sa
1106, 263, 4, 64, 31.56, 21.87, 0, 0.34, 27.45, 33.49, 21.96, 205, u.s.s.sa
1123, 263, 4, 65, 31.50, 21.87, -0.03, 0.34, 27.44, 33.42, 21.95, 205, u.s.s.sa
1140, 263, 4, 66, 31.44, 21.87, -0.02, 0.34, 27.44, 33.36, 21.95, 205, u.s.s.sa
1157, 263, 4, 67, 31.37, 21.87, -0.04, 0.34, 27.44, 33.29, 21.95, 205, u.s.s.sa
1175, 263, 4, 68, 31.31, 21.87, 0, 0.34, 27.43, 33.23, 21.95, 205, u.s.s.sa
1192, 263, 4, 69, 31.25, 21.87, -0.04, 0.33, 27.43, 33.16, 21.95, 204, u.s.s.sa
1209, 263, 4, 70, 31.19, 21.94, 0, 0.33, 27.43, 33.09, 21.95, 204, u.s.s.sa
1227, 263, 4, 71, 31.12, 21.94, -0.04, 0.33, 27.43, 33.03, 21.95, 204, u.s.s.sa
1244, 263, 4, 72, 31.06, 21.87, 0, 0.33, 27.43, 32.96, 21.94, 204, u.s.s.sa
1261, 263, 4, 73, 31, 21.87, 0, 0.32, 27.43, 32.90, 21.94, 204, u.s.s.sa
1278, 263, 4, 74, 30.94, 21.87, -0.04, 0.32, 27.42, 32.83, 21.94, 203, u.s.s.sa
1296, 263, 4, 75, 30.87, 21.81, 0, 0.32, 27.42, 32.77, 21.94, 203, u.s.s.sa
1313, 263, 4, 76, 30.81, 21.81, -0.04, 0.32, 27.42, 32.70, 21.93, 203, u.s.s.sa
1330, 263, 4, 77, 30.75, 21.81, 0, 0.32, 27.41, 32.64, 21.93, 203, u.s.s.sa
1347, 263, 4, 78, 30.69, 21.81, -0.04, 0.31, 27.41, 32.57, 21.93, 203, u.s.s.sa
1365, 263, 4, 79, 30.62, 21.81, 0, 0.31, 27.41, 32.50, 21.93, 203, u.s.s.sa
1382, 263, 4, 80, 30.56, 21.81, -0.04, 0.31, 27.41, 32.44, 21.92, 203, u.s.s.sa
1399, 263, 4, 81, 30.50, 21.81, 0, 0.31, 27.40, 32.37, 21.92, 202, u.s.s.sa
1416, 263, 4, 82, 30.44, 21.81, -0.04, 0.31, 27.40, 32.31, 21.92, 202, u.s.s.sa
1434, 263, 4, 83, 30.37, 21.75, 0, 0.31, 27.39, 32.24, 21.92, 202, u.s.s.sa
1451, 263, 4, 84, 30.31, 21.81, 0, 0.30, 27.39, 32.18, 21.91, 202, u.s.s.sa
1468, 263, 4, 85, 30.25, 21.81, -0.03, 0.30, 27.39, 32.12, 21.91, 202, u.sa
1474, 263, 4, 86, 30.25, 21.81, -0.04, 0.30, 27.39, 32.05, 21.91, 202, u.s.s.sa
1491, 263, 4, 87, 30.19, 21.81, 0, 0.30, 27.38, 31.99, 21.91, 202, u.s.s.sa
1508, 263, 4, 88, 30.12, 21.75, -0.03, 0.30, 27.38, 31.93, 21.90, 202, u.s.s.sa
1526, 263, 4, 89, 30.06, 21.81, -0.02, 0.29, 27.37, 31.86, 21.90, 201, u.s.s.sa
1543, 263, 4, 90, 30, 21.81, -0.02, 0.29, 27.37, 31.80, 21.90, 201, u.s.s.sa
1560, 263, 4, 91, 29.94, 21.75, -0.03, 0.29, 27.37, 31.74, 21.89, 201, u.s.s.sa
1577, 263, 4, 92, 29.87, 21.75, -0.02, 0.29, 27.36, 31.67, 21.89, 201, u.s.s.sa
1595, 263, 4, 93, 29.81, 21.75, -0.03, 0.29, 27.35, 31.61, 21.88, 201, u.s.s.sa
1612, 263, 4, 94, 29.75, 21.69, -0.02, 0.28, 27.35, 31.55, 21.88, 201, u.s.s.sa
1629, 263, 4, 95, 29.75, 21.69, -0.03, 0.28, 27.34, 31.48, 21.87, 201, u.s.s.sa
1646, 263, 4, 96, 29.69, 21.69, 0, 0.28, 27.34, 31.42, 21.87, 200, u.s.s.sa
1664, 263, 4, 97, 29.62, 21.69, 0, 0.28, 27.33, 31.36, 21.87, 200, u.s.s.sa
1681, 263, 4, 98, 29.56, 21.69, -0.04, 0.28, 27.33, 31.30, 21.86, 200, u.s.s.sa
1698, 263, 4, 99, 29.50, 21.69, 0, 0.28, 27.32, 31.24, 21.86, 200, u.s.s.sa
1715, 263, 4, 100, 29.44, 21.69, -0.03, 0.27, 27.31, 31.18, 21.85, 200, u.s.s.sa
1733, 263, 4, 101, 29.37, 21.69, -0.02, 0.27, 27.31, 31.12, 21.85, 200, u.s.s.sa
1750, 263, 4, 102, 29.31, 21.62, -0.02, 0.27, 27.31, 31.05, 21.84, 200, u.s.s.sa
1767, 263, 4, 103, 29.25, 21.62, -0.03, 0.27, 27.30, 30.99, 21.84, 199, u.s.s.sa
1784, 263, 4, 104, 29.25, 21.62, 0, 0.27, 27.29, 30.94, 21.84, 199, u.s.s.sa
1802, 263, 4, 105, 29.19, 21.56, -0.04, 0.27, 27.29, 30.88, 21.83, 199, u.s.s.sa
